 , , ,Welcome To My Trace File 
, History Time Limit ,1
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14421,250,0,250,0,0,0,
0.2,14282,250,0,249,1,0,0,
0.3,14623,250,0,250,0,0,0,
0.4,14815,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,2
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14764,250,0,230,20,0,0,
0.2,13998,250,0,250,0,0,0,
0.3,14766,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,3
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,14416,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,4
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,14230,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,5
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,13897,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,6
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,14158,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,7
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,14158,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,8
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,14158,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,9
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,14158,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
, History Time Limit ,10
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,15083,250,0,250,0,0,0,
0.1,14854,250,0,250,0,0,0,
0.2,14158,250,0,250,0,0,0,
0.3,14800,250,0,250,0,0,0,
0.4,14711,250,0,250,0,0,0,
0.5,14631,250,0,250,0,0,0,
0.6,14570,250,0,250,0,0,0,
0.7,14570,250,0,250,0,0,0,
