 , , ,Welcome To My Trace File 
, History Time Limit ,1
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.10,19299,222,28,222,28,181,69,
0.11,19299,222,28,222,28,181,69,
0.12,19299,222,28,222,28,181,69,
0.13,19299,222,28,222,28,181,69,
0.14,15019,174,76,162,88,168,82,
0.15,15019,174,76,162,88,168,82,
0.16,15019,174,76,162,88,168,82,
0.17,19055,194,56,176,74,188,62,
0.18,14773,165,85,155,95,153,97,
0.19,12814,130,120,121,129,129,121,
0.20,16973,174,76,174,76,174,76,
0.21,13748,158,92,136,114,142,108,
0.22,13524,148,102,124,126,138,112,
0.23,13003,132,118,125,125,142,108,
0.24,17749,180,70,180,70,180,70,
0.25,21582,218,32,218,32,218,32,
0.26,21653,218,32,218,32,218,32,
0.27,26743,243,7,243,7,243,7,
0.28,26231,236,14,236,14,236,14,
0.29,27255,245,5,245,5,245,5,
0.30,26423,239,11,239,11,239,11,
, History Time Limit ,2
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.10,20206,210,40,210,40,210,40,
0.11,13542,161,89,151,99,155,95,
0.12,13542,161,89,151,99,155,95,
0.13,13542,161,89,151,99,155,95,
0.14,13542,161,89,151,99,155,95,
0.15,17063,196,54,186,64,188,62,
0.16,17063,196,54,186,64,188,62,
0.17,12849,146,104,118,132,126,124,
0.18,15446,155,95,155,95,155,95,
0.19,16113,164,86,148,102,161,89,
0.20,14278,156,94,130,120,152,98,
0.21,13052,144,106,132,118,134,116,
0.22,18814,193,57,193,57,193,57,
0.23,15644,162,88,162,88,162,88,
0.24,19356,199,51,199,51,199,51,
0.25,20994,210,40,210,40,210,40,
0.26,20657,207,43,207,43,207,43,
0.27,26577,239,11,239,11,239,11,
0.28,27025,246,4,246,4,246,4,
0.29,26630,241,9,241,9,242,8,
0.30,26531,241,9,241,9,241,9,
, History Time Limit ,3
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.10,17063,168,82,168,82,168,82,
0.11,17063,168,82,168,82,168,82,
0.12,17063,168,82,168,82,168,82,
0.13,17063,168,82,168,82,168,82,
0.14,17063,168,82,168,82,168,82,
0.15,17063,168,82,168,82,168,82,
0.16,17063,168,82,168,82,168,82,
0.17,17063,168,82,168,82,168,82,
0.18,16983,171,79,169,81,171,79,
0.19,14918,155,95,153,97,155,95,
0.20,13755,150,100,127,123,147,103,
0.21,14168,163,87,161,89,161,89,
0.22,14337,174,76,158,92,164,86,
0.23,20090,199,51,199,51,199,51,
0.24,19924,199,51,199,51,199,51,
0.25,16581,166,84,164,86,164,86,
0.26,19361,195,55,195,55,195,55,
0.27,26553,239,11,239,11,239,11,
0.28,26973,243,7,243,7,243,7,
0.29,26517,240,10,240,10,240,10,
0.30,26936,246,4,246,4,246,4,
, History Time Limit ,4
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.10,13020,153,97,117,133,131,119,
0.11,13020,153,97,117,133,131,119,
0.12,13020,153,97,117,133,131,119,
0.13,13020,153,97,117,133,131,119,
0.14,13020,153,97,117,133,131,119,
0.15,13020,153,97,117,133,131,119,
0.16,13020,153,97,117,133,131,119,
0.17,13020,153,97,117,133,131,119,
0.18,12500,130,120,116,134,140,110,
0.19,13195,137,113,137,113,135,115,
0.20,13120,139,111,135,115,133,117,
0.21,15892,174,76,174,76,174,76,
0.22,12934,138,112,120,130,134,116,
0.23,15840,167,83,167,83,167,83,
0.24,12635,134,116,116,134,136,114,
0.25,15444,152,98,152,98,152,98,
0.26,18846,188,62,188,62,189,61,
0.27,25829,233,17,233,17,232,18,
0.28,26639,243,7,243,7,243,7,
0.29,26364,240,10,240,10,238,12,
0.30,26402,241,9,241,9,241,9,
, History Time Limit ,5
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.10,7815,77,173,77,173,77,173,
0.11,7815,77,173,77,173,77,173,
0.12,7815,77,173,77,173,77,173,
0.13,7815,77,173,77,173,77,173,
0.14,7815,77,173,77,173,77,173,
0.15,7815,77,173,77,173,77,173,
0.16,7815,77,173,77,173,77,173,
0.17,7815,77,173,77,173,77,173,
0.18,7815,77,173,77,173,77,173,
0.19,7815,77,173,77,173,77,173,
0.20,7815,77,173,77,173,77,173,
0.21,7815,77,173,77,173,77,173,
0.22,7815,77,173,77,173,77,173,
0.23,7815,77,173,77,173,77,173,
0.24,7815,77,173,77,173,77,173,
0.25,7815,77,173,77,173,77,173,
0.26,7815,77,173,77,173,77,173,
0.27,26652,241,9,241,9,241,9,
0.28,26485,241,9,241,9,241,9,
0.29,26446,240,10,240,10,239,11,
0.30,26057,238,12,238,12,238,12,
